No.,Word
1,Love
2,Hate
3,Joy
4,Sadness
5,Fear
6,Courage
7,Peace
8,War
9,Freedom
10,Slavery
11,Truth
12,Lie
13,Justice
14,Injustice
15,Equality
16,Inequality
17,Knowledge
18,Ignorance
19,Wisdom
20,Foolishness
21,Beauty
22,Ugliness
23,Youth
24,Age
25,Life
26,Death
27,Reality
28,Illusion
29,Success
30,Failure
31,Wealth
32,Poverty
33,Health
34,Sickness
35,Strength
36,Weakness
37,Power
38,Impotence
39,Hope
40,Despair
41,Pride
42,Humility
43,Loyalty
44,Betrayal
45,Honor
46,Dishonor
47,Respect
48,Disrespect
49,Generosity
50,Greed
51,Kindness
52,Cruelty
53,Patience
54,Impatience
55,Forgiveness
56,Revenge
57,Gratitude
58,Ingratitude
59,Humor
60,Seriousness
61,Optimism
62,Pessimism
63,Confidence
64,Insecurity
65,Trust
66,Distrust
67,Passion
68,Indifference
69,Pleasure
70,Pain
71,Gain
72,Loss
73,Victory
74,Defeat
75,Fame
76,Obscurity
77,Sanity
78,Insanity
79,Reality
80,Fantasy
81,Authenticity
82,Fakeness
83,Harmony
84,Chaos
85,Morality
86,Immorality
87,Virtue
88,Vice
89,Reward
90,Punishment
91,Innocence
92,Guilt
93,Purity
94,Corruption
95,Unity
96,Division
97,Clarity
98,Confusion
99,Simplicity
100,Complexity
101,Light
102,Darkness
103,Goodness
104,Evil
105,Heaven
106,Hell
107,Creation
108,Destruction
109,Beginning
110,End
111,Birth
112,Death
113,Dream
114,Nightmare
115,Truth
116,Deception
117,Intelligence
118,Stupidity
119,Laughter
120,Tears
121,Celebration
122,Mourning
123,Comedy
124,Tragedy
125,Romance
126,Heartbreak
127,Magic
128,Science
129,Mystery
130,Explanation
131,Adventure
132,Routine
133,Surprise
134,Expectation
135,Discovery
136,Loss
137,Gift
138,Theft
139,Blessing
140,Curse
141,Miracle
142,Disaster
143,Hero
144,Villain
145,Master
146,Servant
147,Teacher
148,Student
149,Leader
150,Follower
151,Predator
152,Prey
153,Winner
154,Loser
155,Saint
156,Sinner
157,Angel
158,Demon
159,God
160,Devil
161,Friend
162,Enemy
163,Parent
164,Child
165,Brother
166,Sister
167,Husband
168,Wife
169,Boy
170,Girl
171,Man
172,Woman
173,King
174,Queen
175,Prince
176,Princess
177,Knight
178,Dragon
179,Sun
180,Moon
181,Star
182,Earth
183,Fire
184,Water
185,Air
186,Spirit
187,Mind
188,Body
189,Heart
190,Soul
191,Heaven
192,Earth
193,Past
194,Present
195,Future
196,Today
197,Tomorrow
198,Forever
199,Always
200,Never
